Name	Regen	Batch	Animal	Groups	Clusters
RegenNonRegen169	YES	5	32741	1	Removed
RegenNonRegen170	NO	5	32741	2	NO1
RegenNonRegen171	NO	5	32741	2	NO1
RegenNonRegen172	YES	5	32741	1	YES1
RegenNonRegen173	NO	5	32741	2	NO1
RegenNonRegen174	NO	5	32741	2	NO1
RegenNonRegen175	NO	5	32741	2	NO1
RegenNonRegen176	YES	5	32741	1	YES1
RegenNonRegen177	NO	7	32741	2	NO1
RegenNonRegen178	NO	5	32741	2	NO1
RegenNonRegen179	NO	5	32741	2	NO1
RegenNonRegen180	NO	5	32741	2	NO1
RegenNonRegen181	NO	7	11861	2	NO1
RegenNonRegen182	NO	7	11861	2	NO1
RegenNonRegen183	NO	7	11861	2	NO1
RegenNonRegen184	NO	7	11861	2	NO1
RegenNonRegen185	NO	7	11861	2	NO1
RegenNonRegen186	YES	7	11861	1	YES1
RegenNonRegen187	NO	7	11861	2	NO1
